ticker,max_drawdown,num_drawdowns,gics_industry_group
ARAY,-79.59,1,Health Care Equipment & Services
ARCB,-62.62,5,Transportation
ARCH,-35.24,2,Materials
ARCT,-86.71,5,"Pharmaceuticals, Biotechnology & Life Sciences"
ARDX,-66.32,9,"Pharmaceuticals, Biotechnology & Life Sciences"
ARE,-65.34,2,Equity Real Estate Investment Trusts (REITs)
ARES,-40.45,4,Financial Services
ARI,-33.0,2,Financial Services
ARIS,-41.28,12,Energy
ARKO,-56.34,7,Consumer Discretionary Distribution & Retail
ARLO,-50.82,8,Technology Hardware & Equipment
ARMK,-28.02,6,Consumer Services
AROC,-30.78,10,Energy
AROW,-30.64,7,Banks
ARQT,-42.22,13,"Pharmaceuticals, Biotechnology & Life Sciences"
ARR,-35.47,5,Financial Services
ARRY,-76.53,6,Capital Goods
ARTNA,-17.33,2,Utilities
ARVN,-88.4,5,"Pharmaceuticals, Biotechnology & Life Sciences"
ARW,-34.14,8,Technology Hardware & Equipment
ARWR,-74.7,7,"Pharmaceuticals, Biotechnology & Life Sciences"
ASAN,-69.26,4,Software & Services
ASB,-32.8,10,Banks
ASC,-63.6,3,Energy
ASGN,-61.81,1,Software & Services
ASH,-54.02,3,Materials
ASIX,-56.5,6,Materials
ASLE,-63.51,4,Capital Goods
ASO,-54.63,4,Consumer Discretionary Distribution & Retail
ASPN,-91.08,5,Materials
ASRT,-33.86,3,"Pharmaceuticals, Biotechnology & Life Sciences"
ASTE,-35.41,11,Capital Goods
ASTH,-67.48,8,Health Care Equipment & Services
ASTS,-59.88,21,Telecommunication Services
ASUR,-39.06,7,Commercial & Professional Services
ATEC,-70.32,11,Health Care Equipment & Services
ATEN,-31.32,6,Software & Services
ATEX,-57.35,4,Telecommunication Services
ATGE,-42.14,6,Consumer Services
ATI,-38.02,8,Capital Goods
ATKR,-73.13,6,Capital Goods
ATMU,-28.85,4,Capital Goods
ATNI,-64.37,6,Telecommunication Services
ATO,-9.92,5,Utilities
ATR,-35.78,4,Materials
ATRA,-76.08,2,"Pharmaceuticals, Biotechnology & Life Sciences"
ATRC,-47.43,9,Health Care Equipment & Services
ATRI,-21.6,5,Health Care Equipment & Services
ATRO,-33.3,6,Capital Goods
ATSG,-29.8,5,Transportation
ATXS,-77.53,8,"Pharmaceuticals, Biotechnology & Life Sciences"
AUB,-45.24,5,Banks
AUPH,-48.34,7,"Pharmaceuticals, Biotechnology & Life Sciences"
AUR,-63.0,15,Software & Services
AURA,-58.26,7,"Pharmaceuticals, Biotechnology & Life Sciences"
AVA,-16.21,6,Utilities
AVAV,-52.52,7,Capital Goods
AVB,-28.64,3,Equity Real Estate Investment Trusts (REITs)
AVD,-74.35,3,Materials
AVDX,-48.16,3,Financial Services
AVGO,-41.48,10,Semiconductors & Semiconductor Equipment
AVIR,-44.08,4,"Pharmaceuticals, Biotechnology & Life Sciences"
AVNS,-59.94,3,Health Care Equipment & Services
AVNT,-48.32,5,Materials
AVNW,-64.27,6,Technology Hardware & Equipment
AVO,-32.6,10,"Food, Beverage & Tobacco"
AVPT,-49.17,9,Software & Services
AVT,-28.05,4,Technology Hardware & Equipment
AVTR,-61.62,7,"Pharmaceuticals, Biotechnology & Life Sciences"
AVXL,-77.12,10,"Pharmaceuticals, Biotechnology & Life Sciences"
AVY,-31.38,3,Materials
AWI,-22.17,6,Capital Goods
AWK,-19.27,7,Utilities
AWR,-19.35,7,Utilities
AX,-34.92,5,Banks
AXGN,-53.8,10,Health Care Equipment & Services
AXL,-64.53,5,Automobiles & Components
AXON,-54.11,9,Capital Goods
AXP,-28.99,4,Financial Services
AXS,-17.47,8,Insurance
AXSM,-32.69,7,"Pharmaceuticals, Biotechnology & Life Sciences"
AXTA,-36.09,2,Materials
AYI,-33.75,5,Capital Goods
AZEK,-27.67,7,Capital Goods
AZO,-25.48,7,Consumer Discretionary Distribution & Retail
AZPN,-22.1,4,Software & Services
AZTA,-62.92,10,"Pharmaceuticals, Biotechnology & Life Sciences"
AZZ,-23.66,11,Capital Goods
BA,-45.75,4,Capital Goods
BAC,-28.01,12,Banks
BAH,-57.04,7,Commercial & Professional Services
BALL,-36.45,5,Materials
BANC,-32.13,8,Banks
BAND,-49.82,7,Telecommunication Services
BANF,-22.32,8,Banks
BANR,-25.9,9,Banks
BASE,-54.99,2,Software & Services
BATRA,-16.63,7,Media & Entertainment
BATRK,-18.72,5,Media & Entertainment
BAX,-60.2,3,Health Care Equipment & Services
BBBY,-89.78,11,Consumer Discretionary Distribution & Retail
BBIO,-44.75,6,"Pharmaceuticals, Biotechnology & Life Sciences"
BBSI,-32.26,3,Commercial & Professional Services
BBT,-27.32,12,Banks
BBUC,-26.56,8,Capital Goods
BBW,-37.92,10,Consumer Discretionary Distribution & Retail
BBWI,-70.96,5,Consumer Discretionary Distribution & Retail
BBY,-45.62,8,Consumer Discretionary Distribution & Retail
BC,-56.56,5,Consumer Durables & Apparel
BCBP,-45.3,3,Banks
BCC,-56.68,8,Capital Goods
BCML,-18.95,8,Banks
BCO,-29.04,6,Commercial & Professional Services
BCPC,-23.5,9,Materials
BCRX,-46.01,8,"Pharmaceuticals, Biotechnology & Life Sciences"
BDC,-33.73,6,Technology Hardware & Equipment
BDN,-57.73,5,Equity Real Estate Investment Trusts (REITs)
BDX,-33.7,8,Health Care Equipment & Services
BE,-46.82,13,Capital Goods
BEAM,-67.74,12,"Pharmaceuticals, Biotechnology & Life Sciences"
BECN,-22.07,7,Capital Goods
BELFB,-33.43,11,Technology Hardware & Equipment
BEN,-43.2,5,Financial Services
BEPC,-27.48,6,Utilities
BERY,-16.87,7,Materials
BF/A,-58.22,2,"Food, Beverage & Tobacco"
BF/B,-58.29,1,"Food, Beverage & Tobacco"
BFAM,-37.36,4,Consumer Services
BFC,-15.73,15,Banks
BFH,-36.88,12,Financial Services
BFLY,-53.01,5,Health Care Equipment & Services
BFS,-29.43,3,Equity Real Estate Investment Trusts (REITs)
BFST,-28.0,7,Banks
BG,-39.71,9,"Food, Beverage & Tobacco"
BGC,-34.73,8,Financial Services
BGS,-67.09,3,"Food, Beverage & Tobacco"
BHB,-28.41,8,Banks
BHE,-37.24,10,Technology Hardware & Equipment
BHF,-31.14,5,Insurance
BHILQ,-42.59,4,"Food, Beverage & Tobacco"
BHR,-52.2,8,Equity Real Estate Investment Trusts (REITs)
BHRB,-31.48,6,Banks
BHVN,-86.96,7,"Pharmaceuticals, Biotechnology & Life Sciences"
BIGGQ,-78.35,1,Consumer Discretionary Distribution & Retail
BIIB,-57.65,6,"Pharmaceuticals, Biotechnology & Life Sciences"
BILL,-63.37,3,Software & Services
BIO,-42.14,5,"Pharmaceuticals, Biotechnology & Life Sciences"
BIPC,-25.93,5,Utilities
BIRD,-61.54,1,Consumer Durables & Apparel
BIRK,-41.56,4,Consumer Durables & Apparel
BJ,-26.65,5,Consumer Staples Distribution & Retail
BJRI,-38.67,8,Consumer Services
BK,-17.58,8,Financial Services
BKD,-43.55,8,Health Care Equipment & Services
BKE,-34.38,5,Consumer Discretionary Distribution & Retail
BKH,-13.92,7,Utilities
BKNG,-23.6,6,Consumer Services
BKR,-28.35,11,Energy
BKU,-31.76,7,Banks
BL,-39.24,2,Software & Services
BLBD,-45.95,7,Capital Goods
BLD,-42.41,10,Consumer Durables & Apparel
BLDR,-55.07,3,Capital Goods
BLFS,-27.55,10,"Pharmaceuticals, Biotechnology & Life Sciences"
BLFY,-32.72,4,Banks
BLK,-24.15,6,Financial Services
BLKB,-47.09,2,Software & Services
BLMN,-80.08,4,Consumer Services
